Component RT,Compound Name,Match Factor,Component Area,Area %
11.6538,"Cyclopentasiloxane, decamethyl-",55.3473483000185,30962.2675,0.211294413498989
14.3398833333333,"2-Pentanone, 4-hydroxy-4-methyl-",92.0835483154302,717840.934920919,4.89872969832333
15.7102,"Cyclopentane, ethylidene-",52.0642854925242,5169.18657679986,0.0352758481274594
16.0740166666667,"trans-1,4-Cyclohexanedimethanol, mono(trimethylsilyl) ether",58.0963781377565,15381.8345000001,0.10496956333111
16.3953666666667,5-Hexyl-5-methyloxolan-2-one,66.175023429808,31725.898203767,0.216505624263261
17.0866,"1,4-Butanediol",89.0988269216032,1631581.07554338,11.1343255603934
17.5292166666667,Phenyl-.beta.-D-glucoside,61.643066448283,28535.5736321899,0.194734035369689
17.8869666666667,"Phenol, 2-methyl-",66.5116258155282,34635.1786000002,0.236359295995352
18.5903166666667,"Phenol, 4-(2-aminoethyl)-",67.4363691119848,64566.3527124131,0.44061726513209
18.81465,1-(4-Methoxyphenyl)-2-methylhex-4-en-2-ol,58.1086289706225,54240.9984324514,0.370154412992665
19.3421666666667,2-Hydroxy-gamma-butyrolactone,50.6101792029314,38582.1647671438,0.263294536680655
19.6999166666667,"Bicyclo[3.2.0]heptan-6-one, 2-acetyl-3,3-dimethyl-7-(1-methylethyl)-",56.6907361436745,52276.3015495779,0.356746820167946
22.004,Octaethylene glycol monododecyl ether,55.3634355117261,139058.897444816,0.948973397294577
22.4345,"Acetamide, N-[4-(4,7,10,13-tetraoxa-1-azacyclopentadec-1-yl)-4-oxobutyl]-",54.7866924650325,351447.627138475,2.39836828009562
23.2469833333333,N-Benzyl-2-[1-(4-methoxy-phenyl)-1H-tetrazol-5-ylsulfanyl]-acetamide,54.7476354267434,75428.5571594329,0.514743719789816
23.4470833333333,"1-Hexadecanol, 2-methyl-",77.328268802424,378227.621384589,2.58112179379544
23.9442833333333,"10aH-2,12a-Methano-1H,4H-cyclopropa[5,6][1,3]dioxolo[2',3']cyclopenta[1',2':9,10]cyclodeca[1,2-d][1,3]dioxin-15-ol, 1a,2,7a,13,14,14a-hexahydro-1,1,6,6,9,9,11,13-octamethyl-, [1aR-(1a.alpha.,2.alpha.,7a.alpha.,7bR*,10a.alpha.,12a.alpha.,13.alpha.,14a.alpha.,15S*)]-",50.7421720661594,72769.3455,0.496596580923144
24.7022,"Methanol, (4-carboxymethoxy)benzoyl-",53.1342658565375,59227.1124516484,0.404180927275747
25.4358666666667,Octaethylene glycol monododecyl ether,55.176513857035,579576.133881906,3.9551754175171
27.7945166666667,Octadecanoic acid,58.058076661763,275460.181083039,1.87981055987795
28.2310833333333,Oleic Acid,83.6562285310916,3473000.9490654,23.7006446189448
33.6275,"1,4-Benzenedicarboxylic acid, bis(2-ethylhexyl) ester",76.4876855105449,488592.852710232,3.33428229225157
